Period_1,Period_2,Period_3,Period_4,Period_5,Period_6,Period_7,Period_8,Period_9,Period_10,Period_11,Period_12,Period_13,Period_14,Period_15,Period_16
0,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,16.5,5,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,0,6,16.5,0
,,,,,,,,,,,,,22.5,0,0
11,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,17,0,6,0,0,0,0,0
,,,,,,,,,,,,,,,23.75
0,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,24.48,0,0
0,4.5,0,0,0,0,0,0,15,0,0,0,5,0,0,0
0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,0,0,0,0,25,0,0,0,0
,,,,,,,,0,0,0,0,0,0,25,0
,,,,,,,,,,,,,,,25
0,0,0,0,0,25.15,0,0,0,0,0,0,0,0,0,0
0,0,6,0,0,0,0,0,0,0,0,0,0,0,20,0
,,,,,,5,0,0,5,0,6,0,0,10,0
,,,,,,,,,,,0,20,6,0,0
,,,,,,,,,,,,,,4.5,22
0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,27.5,0,0
,,,,,,0,29,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,0,0,29,0,0
0,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,29.5
0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
,,30,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,30,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,30,0,0,0,0,0
,,,,,,,,6,6,0,6,0,0,12,0
,,,,,,,,,,,,,,,30
,,,,,,,,,,,,,,24,7.8
0,0,3,0,0,29,0,0,0,0,0,0,0,0,0,0
,,,,,,,,0,0,0,32,0,0,0,0
22.5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
,,,,,,,0,0,0,0,0,0,33,0,0
,,,,,,,,,5,0,0,6,0,7.5,15
4.5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,34.8,0
12,18,0,0,5,0,0,0,0,0,0,0,0,0,0,0
,,0,0,0,35,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,35.6,0,0,0,0,0,0
0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,6,6,6,0,12,0,0,0,6,0,0
